"","itemname","mealtype","quantity","datesort","itemid","mealtypeid"
"4","Trim Waste","Breakfast",22,21,12,1
"5","Trim Waste","Lunch",12,21,12,3
"6","Trim Waste","Lunch",12,21,12,3
"9","Trim Waste","Lunch",5,21,12,3
"12","Trim Waste","Lunch",6,22,12,3
"14","Trim Waste","Lunch",3.5,22,12,3
"15","Trim Waste","Lunch",2,22,12,3
"25","Trim Waste","Dinner",6.5,23,12,2
"35","Trim Waste","Lunch",12.6,23,12,3
"36","Trim Waste","Lunch",6.2,23,12,3
"37","Trim Waste","Lunch",12.5,24,12,3
"41","Trim Waste","Lunch",1.8,25,12,3
"42","Trim Waste","Lunch",1.8,25,12,3
"45","Trim Waste","Lunch",8,25,12,3
"46","Trim Waste","Lunch",8,25,12,3
"47","Trim Waste","Lunch",6.4,25,12,3
"57","Trim Waste","Breakfast",7.4,26,12,1
"59","Trim Waste","Breakfast",27.6,26,12,1
"66","Trim Waste","Lunch",15,26,12,3
"70","Trim Waste","Breakfast",1,27,12,1
"78","Trim Waste","Lunch",0.5,27,12,3
"83","Trim Waste","Lunch",6.8,28,12,3
"84","Trim Waste","Lunch",5,28,12,3
"89","Trim Waste","Lunch",5.8,28,12,3
"90","Trim Waste","Lunch",5.8,28,12,3
"91","Trim Waste","Lunch",5.8,28,12,3
"92","Trim Waste","Lunch",5.8,28,12,3
"93","Trim Waste","Lunch",5.8,28,12,3
"94","Trim Waste","Lunch",8.8,28,12,3
"95","Trim Waste","Lunch",8.8,28,12,3
"98","Trim Waste","Lunch",15.4,28,12,3
"99","Trim Waste","Lunch",15.4,28,12,3
"103","Trim Waste","Lunch",9.6,29,12,3
"104","Trim Waste","Lunch",9.6,29,12,3
"105","Trim Waste","Lunch",9.6,29,12,3
"106","Trim Waste","Lunch",9.6,29,12,3
"107","Trim Waste","Lunch",9.6,29,12,3
"109","Trim Waste","Lunch",18,29,12,3
"110","Trim Waste","Lunch",18,29,12,3
"111","Trim Waste","Lunch",24,29,12,3
"112","Trim Waste","Lunch",24,29,12,3
"113","Trim Waste","Lunch",24,29,12,3
"114","Trim Waste","Lunch",24,29,12,3
"115","Trim Waste","Lunch",20,29,12,3
"116","Trim Waste","Lunch",1.4,29,12,3
