"","X","itemname","mealtype","quantity","quantitytype","datesort","itemid","mealtypeid"
"21",30,"Meat Sauce","",1,"Pound",2,199,1
"33",48,"Meat Sauce","",6,"Pound",2,199,1
"39",54,"Meat Sauce","",6,"Pound",2,199,1
"52",82,"Meat Sauce","",8,"Pound",3,199,1
"66",101,"Meat Sauce","",4,"Pound",4,199,1
"107",152,"Meat Sauce","",4,"Pound",6,199,1
"151",213,"Meat Sauce","",2,"Pound",9,199,1
"153",215,"Meat Sauce","",6,"Pound",9,199,1
"155",220,"Meat Sauce","",3,"Pound",9,199,1
"185",251,"Meat Sauce","",2,"Pound",10,199,1
"200",268,"Meat Sauce","",1,"Pound",11,199,1
"211",289,"Meat Sauce","",5,"Pound",12,199,1
"218",299,"Meat Sauce","",4,"Pound",14,199,1
"234",318,"Meat Sauce","",1,"Pound",15,199,1
"241",330,"Meat Sauce","",3,"Pound",16,199,1
"242",331,"Meat Sauce","",2,"Pound",16,199,1
"247",338,"Meat Sauce","",5,"Pound",16,199,1
"262",358,"Meat Sauce","",3,"Pound",17,199,1
"295",399,"Meat Sauce","",2,"Pound",19,199,1
"313",427,"Meat Sauce","",2.7,"Pound",21,199,1
"329",445,"Meat Sauce","",2.2,"Pound",22,199,1
"334",450,"Meat Sauce","",3.2,"Pound",22,199,1
"351",474,"Meat Sauce","",5.2,"Pound",23,199,1
"375",509,"Meat Sauce","",2.8,"Pound",25,199,1
"376",510,"Meat Sauce","",6.6,"Pound",25,199,1
"402",554,"Meat Sauce","",4.5,"Pound",28,199,1
"413",572,"Meat Sauce","",5.4,"Pound",29,199,1
"429",592,"Meat Sauce","",8.2,"Pound",30,199,1
"431",594,"Meat Sauce","",4.5,"Pound",30,199,1
"450",618,"Meat Sauce","",4,"Pound",31,199,1
"458",627,"Meat Sauce","",6,"Pound",31,199,1
"472",646,"Meat Sauce","",9.6,"Pound",32,199,1
"486",663,"Meat Sauce","",4,"Pound",33,199,1
"521",725,"Meat Sauce","",4.6,"Pound",35,199,1
"573",802,"Meat Sauce","",8.1,"Pound",39,199,1
"612",855,"Meat Sauce","",5.6,"Pound",44,199,1
"621",864,"Meat Sauce","",7.6,"Pound",44,199,1
