"","X","id","itemname","itemtype","datecreated","datedumped","mealtype","actiontaken","actionreason","quantity","quantitytype","locationid"
"18528",19817,21082,"Grill","Menu","2017-06-22 17:49:19","2017-06-22","Lunch","Composted","Over Production",4.6,"Pound",18
"18543",19832,21099,"Hot Line","Menu","2017-07-12 12:58:06","2017-07-12","Breakfast","Discarded","Over Production",4.6,"Pound",18
"18544",19833,21100,"Post Consumer","Menu","2017-07-12 13:27:42","2017-07-12","Breakfast","Composted","Over Production",12.5,"Pound",18
"18545",19834,21101,"Trim Waste","Menu","2017-07-12 13:34:35","2017-07-12","Breakfast","Composted","Over Production",22,"Pound",18
"18546",19835,21102,"Trim Waste","Menu","2017-07-12 17:45:15","2017-07-12","Lunch","Composted","Over Production",12,"Pound",18
"18547",19836,21103,"Trim Waste","Menu","2017-07-12 17:45:20","2017-07-12","Lunch","Composted","Over Production",12,"Pound",18
"18548",19837,21104,"Hot Line","Menu","2017-07-12 18:26:49","2017-07-12","Lunch","Composted","Quality",14.5,"Pound",18
"18549",19838,21107,"Hot Line","Menu","2017-07-12 18:30:04","2017-07-12","Lunch","Composted","Over Production",8.5,"Pound",18
"18550",19839,21108,"Trim Waste","Menu","2017-07-12 18:40:46","2017-07-12","Lunch","Composted","Over Production",5,"Pound",18
"18551",19840,21109,"Hot Line","Menu","2017-07-13 12:42:17","2017-07-12","Breakfast","Composted","Expired",6.5,"Pound",18
"18552",19841,21110,"Hot Line","Menu","2017-07-13 12:44:41","2017-07-13","Breakfast","Composted","Quality",5,"Pound",18
"18553",19842,21111,"Trim Waste","Menu","2017-07-13 15:47:22","2017-07-13","Lunch","Composted","Over Production",6,"Pound",18
"18554",19843,21112,"Hot Line","Menu","2017-07-13 17:13:34","2017-07-13","Lunch","Composted","Over Production",14.5,"Pound",18
"18555",19844,21113,"Trim Waste","Menu","2017-07-13 17:14:30","2017-07-13","Lunch","Composted","Spoilage",3.5,"Pound",18
"18556",19845,21114,"Trim Waste","Menu","2017-07-13 17:50:09","2017-07-13","Lunch","Composted","Over Production",2,"Pound",18
"18557",19846,21115,"Post Consumer","Menu","2017-07-13 18:36:15","2017-07-13","Lunch","Composted","Over Production",19.5,"Pound",18
"18558",19847,21116,"Post Consumer","Menu","2017-07-13 18:36:19","2017-07-13","Lunch","Composted","Over Production",19.5,"Pound",18
"18559",19848,21117,"Catering","Menu","2017-07-13 19:59:34","2017-07-13","Dinner","Discarded","Over Production",5.2,"Pound",18
"18560",19849,21118,"Catering","Menu","2017-07-13 19:59:37","2017-07-13","Dinner","Discarded","Over Production",5.2,"Pound",18
"18561",19850,21119,"Dessert","Menu","2017-07-14 11:06:30","2017-07-13","Dinner","Composted","Spoilage",2.5,"Pound",18
"18562",19851,21120,"Dessert","Menu","2017-07-14 11:06:39","2017-07-13","Dinner","Composted","Spoilage",2.5,"Pound",18
"18563",19852,21121,"Dessert","Menu","2017-07-14 11:06:45","2017-07-13","Dinner","Composted","Spoilage",2.5,"Pound",18
"18564",19853,21122,"Post Consumer","Menu","2017-07-14 13:46:11","2017-07-14","Dinner","Discarded","Over Production",29,"Pound",18
"18565",19854,21123,"Post Consumer","Menu","2017-07-14 13:50:10","2017-07-14","Dinner","Composted","Over Production",13,"Pound",18
"18566",19855,21125,"Trim Waste","Menu","2017-07-14 14:25:07","2017-07-14","Dinner","Composted","Quality",6.5,"Pound",18
"18567",19856,21127,"Deli","Menu","2017-07-14 14:55:21","2017-07-14","Dinner","Composted","Expired",25,"Pound",18
