"","itemname","mealtype","quantity","quantitytype","datesort"
"1","Cream of Wheat","",9,"Pound",1
"2","Scrambled Eggs","",5,"Pound",1
"3","Scrambled Eggs","",5,"Pound",1
"5","Home Fries","",3,"Pound",1
"6","Corned Beef Hash","",5,"Pound",1
"8","Buttermilk Pancakes","",5,"Pound",1
"13","Crispy Alaskan Pollock","",3,"Pound",1
"14","Veggie Muffuletta","",8,"Pound",1
"15","Macaroni &amp; Cheese","",9,"Pound",1
"17","Chef's Choice Soup du Jour","",3,"Pound",1
"18","White Bean Cassoulet","",4,"Pound",1
"21","Baked Ziti","",13,"Pound",2
"22","Baked Ziti","",24,"Pound",2
"23","Grilled Caesar Chicken","",1,"Pound",2
"24","Beef Tender Picadillo","",5,"Pound",2
"25","Basmati Rice","",4,"Pound",2
"26","Steamed Broccoli","",3,"Pound",2
"27","Linguini w/ Roasted Tomatoes","",2,"Pound",2
"28","Chef's Choice Soup du Jour","",1,"Pound",2
"29","Marinara Sauce","",1,"Pound",2
"30","Meat Sauce","",1,"Pound",2
"33","Curley Fries","",3,"Pound",2
"37","North Salad Bar Waste Module","",20,"Pound",2
"38","North Salad Dressing Waste Module","",13,"Pound",2
"39","Waffles","",4,"Pound",2
"40","Country Style Hash Browns","",4,"Pound",2
"41","Waffles","",2,"Pound",2
"42","Strawberry Pancakes","",2,"Pound",2
"43","Cheesy Scrambled Eggs","",2,"Pound",2
"45","Baked Beans","",8,"Pound",2
"46","Roasted Summer Vegetables","",8,"Pound",2
"47","Chicken Noodle Casserole","",9,"Pound",2
"48","Meat Sauce","",6,"Pound",2
"49","Marinara Sauce","",9,"Pound",2
"50","Chef's Choice Pasta du Jour","",9,"Pound",2
"51","Brown Sauce","",8,"Pound",2
"52","Mashed Potatoes","",14,"Pound",2
"53","Sauteed Kale","",3,"Pound",2
"54","Meat Sauce","",6,"Pound",2
"55","Ranch Roasted Potatoes","",8,"Pound",2
"56","Chef's Choice Pasta du Jour","",4,"Pound",2
"57","Fresh Roasted Carrots","",9,"Pound",2
"59","Creamy Spinach & Sun Dried Tomato Whole Wheat Penn","",7,"Pound",2
"60","North Salad Dressing Waste Module","",22,"Pound",2
"61","North Deli Bar Waste Module","",4,"Pound",2
"62","Cheese Pizza","",12,"Pound",2
"65","Hamburger No Bun","",2,"Pound",2
"70","Cheesy Scrambled Eggs","",12,"Pound",3
"71","Breakfast Potatoes","",3,"Pound",3
"73","Fried Tater Tots","",4,"Pound",3
"74","Black Bean & Salsa Burger with a Bun","",2,"Pound",3
"82","Meat Sauce","",8,"Pound",3
"83","Marinara Sauce","",7,"Pound",3
"86","North Deli Bar Waste Module","",4,"Pound",3
"87","Scrambled Eggs","",10,"Pound",4
"88","Turkey Sausage Links","",7,"Pound",4
"90","Mashed Potatoes","",4,"Pound",4
"91","Stove Top Stuffing","",4,"Pound",4
"92","Roast Turkey","",2,"Pound",4
"93","American Chop Suey","",13,"Pound",4
"96","BBQ Chicken Drumsticks","",8,"Pound",4
"97","Sauteed Pork Cutlet","",5,"Pound",4
"98","Vegan Mongolian Stir Fry","",8,"Pound",4
"99","Curried Sweet Potato and Apple Pilaf","",19,"Pound",4
"100","Marinara Sauce","",5,"Pound",4
"101","Meat Sauce","",4,"Pound",4
"103","Tokyo Noodles","",6,"Pound",4
"104","Red Petite Potatoes w/Dill","",16,"Pound",4
"105","Pepperoni Pizza","",6,"Pound",4
"106","Cheese Pizza","",16,"Pound",4
"107","Special Pizza","",11,"Pound",4
"108","North Deli Bar Waste Module","",10,"Pound",4
"109","North Salad Bar Waste Module","",21,"Pound",4
"110","North Salad Dressing Waste Module","",4,"Pound",4
"111","Grilled Cheese","",6,"Pound",4
"112","Grilled Chicken Cutlet","",15,"Pound",4
"113","Straight Cut French Fries","",2,"Pound",4
"114","Whole Wheat French Toast Stix","",12,"Pound",5
"115","Oatmeal Hot Cereal","",5,"Pound",5
"116","Cheesy Scrambled Eggs","",4,"Pound",5
"117","Scrambled Eggs","",4,"Pound",5
"118","Blueberry Pancakes","",5,"Pound",5
"119","Chili con Carne","",10,"Pound",5
"120","Frijoles Refritos Con Queso","",18,"Pound",5
"121","White Rice","",6,"Pound",5
"122","New Orleans Cod","",4,"Pound",5
"123","O'Brien Potatoes","",3,"Pound",5
"124","Straight Cut French Fries","",4,"Pound",5
"125","A-1 Burger w/ Mushroom & Swiss","",5,"Pound",5
"129","Crispy Dijon Scrod","",3,"Pound",5
"130","Baked Beans","",10,"Pound",5
"131","Sundae Bar w/ Toppings","",2,"Pound",5
"132","Steamed Broccoli","",5,"Pound",5
"133","Marinara Sauce","",4,"Pound",5
"134","North Salad Dressing Waste Module","",4,"Pound",5
"135","North Deli Bar Waste Module","",15,"Pound",5
"137","North Salad Bar Waste Module","",17,"Pound",5
"138","Scrambled Eggs","",2,"Pound",6
"139","North Salad Bar Waste Module","",2,"Pound",6
"142","Grilled Chicken Cutlet","",4,"Pound",6
"143","Curley Fries","",5,"Pound",6
"147","Gingered Green Beans and Carrots","",13,"Pound",6
"148","Sesame Ginger Salmon w/ Mandarin Orange Relish","",2,"Pound",6
"149","Gingered Green Beans and Carrots","",5,"Pound",6
"150","Roasted Garlic Potatoes","",10,"Pound",6
"151","Marinara Sauce","",2,"Pound",6
"152","Meat Sauce","",4,"Pound",6
"153","North Deli Bar Waste Module","",10,"Pound",6
"154","North Salad Bar Waste Module","",15,"Pound",6
"156","Breakfast Potatoes","",12,"Pound",7
"157","Smashed Yukon Gold Potatoes","",42,"Pound",7
