,itemname,mealtype,predictions,date
0,Grill,breakfast,9.666666666666668,2017-12-15
1,Hot Line,breakfast,5.106666666666667,2017-12-15
2,Post Consumer,breakfast,9.666666666666668,2017-12-15
3,Trim Waste,breakfast,9.666666666666668,2017-12-15
4,Catering,breakfast,9.666666666666668,2017-12-15
5,Dessert,breakfast,9.32,2017-12-15
6,Deli,breakfast,9.666666666666668,2017-12-15
7,Salad,breakfast,19.5,2017-12-15
8,Pizza,breakfast,14.666666666666666,2017-12-15
9,Pasta,breakfast,8.616666666666665,2017-12-15
10,Soup,breakfast,9.666666666666668,2017-12-15
11,Gluten Free,breakfast,9.666666666666668,2017-12-15
12,Grill,lunch,4.760000000000001,2017-12-15
13,Hot Line,lunch,5.1000000000000005,2017-12-15
14,Post Consumer,lunch,4.28,2017-12-15
15,Trim Waste,lunch,4.760000000000001,2017-12-15
16,Catering,lunch,4.760000000000001,2017-12-15
17,Dessert,lunch,11.740000000000002,2017-12-15
18,Deli,lunch,5.300000000000001,2017-12-15
19,Salad,lunch,20.4,2017-12-15
20,Pizza,lunch,12.610000000000001,2017-12-15
21,Pasta,lunch,8.71,2017-12-15
22,Soup,lunch,4.4,2017-12-15
23,Gluten Free,lunch,3.3099999999999996,2017-12-15
24,Grill,dinner,3.5149999999999997,2017-12-15
25,Hot Line,dinner,7.209999999999999,2017-12-15
26,Post Consumer,dinner,5.415,2017-12-15
27,Trim Waste,dinner,5.8950000000000005,2017-12-15
28,Catering,dinner,5.8950000000000005,2017-12-15
29,Dessert,dinner,5.8549999999999995,2017-12-15
30,Deli,dinner,5.475,2017-12-15
31,Salad,dinner,13.9,2017-12-15
32,Pizza,dinner,7.664999999999999,2017-12-15
33,Pasta,dinner,6.7299999999999995,2017-12-15
34,Soup,dinner,20.695,2017-12-15
35,Gluten Free,dinner,5.795,2017-12-15
