,0,1,2,3,4
0,458,627,1060,199,1
1,2623,4287,1061,199,2
2,1418,2176,1062,199,3
3,2962,4966,1063,199,4
4,1052,1575,1064,199,1
5,2373,3770,1065,199,1
6,755,1071,1066,199,1
7,2741,4462,1067,199,1
8,185,251,1068,199,1
9,2911,4860,1069,199,1
10,1991,3064,1070,199,1
11,2824,4616,1071,199,1
12,3106,5123,1072,199,1
13,1888,2922,1073,199,1
14,242,331,1074,199,1
15,1212,1856,1075,199,1
16,2537,4098,1076,199,1
17,295,399,1077,199,1
18,2588,4236,1078,199,1
19,1536,2349,1079,199,1
20,1243,1911,1080,199,1
21,979,1461,1081,199,1
22,2169,3385,1082,199,1
23,1727,2692,1083,199,1
24,1723,2685,1084,199,1
25,2050,3151,1085,199,1
26,402,554,1086,199,1
27,1879,2899,1087,199,1
28,247,338,1088,199,1
29,2637,4302,1089,199,1
30,2870,4703,1090,199,1
31,1166,1768,1091,199,1
32,1617,2507,1092,199,1
33,1149,1739,1093,199,1
34,1683,2628,1094,199,1
35,1961,3024,1095,199,1
36,2712,4427,1096,199,1
37,1561,2419,1097,199,1
38,1378,2124,1098,199,1
39,2442,3914,1099,199,1
40,2914,4874,1100,199,3
41,2486,3999,1101,199,1
