,itemName,imageKey,Date_Produced,Log_ID,Item_Type,PLU,Meal,Action_Taken,Action_Reason,Quantity,Pan_ID,Pan_Weight,Unit,Station,Location_ID,Location,Served,Saved,Sold,Shrink,logtime,locationId,imageId
0,3 Way Roasted Mushroom Seasonal, 55/06f869e0e8ec11e98246012e5e367d18,10/7/19,50666,Menu Item,46000010550,Breakfast,Served,Start,7.2973,203,2.4,Lbs,SB,55,Cranston,4.8973,0,4.8973,0,10/7/19 6:20,55, 06f869e0-e8ec-11e9-8246-012e5e367d18
1,3 Way Roasted Mushroom Seasonal, 55/4372ad60ecdc11e990c345c3f76c0e47,10/11/19,55509,Menu Item,46000010550,Breakfast,Served,Start,9.19328,198,1.9,Lbs,SB,55,Cranston,7.29328,0,7.29328,0,10/12/19 6:37,55, 4372ad60-ecdc-11e9-90c3-45c3f76c0e47
2,3 Way Roasted Mushroom Seasonal, 55/8b6a6970e9b511e98246012e5e367d18,10/8/19,51815,Menu Item,46000010550,Breakfast,Served,Start,8.09097,198,1.9,Lbs,SB,55,Cranston,6.19097,0,6.19097,0,10/8/19 6:22,55, 8b6a6970-e9b5-11e9-8246-012e5e367d18
3,3 Way Roasted Mushroom Seasonal, 55/b1aaf220ea7e11e990c345c3f76c0e47,10/9/19,52793,Menu Item,46000010550,Breakfast,Served,Start,9.83262,198,1.9,Lbs,SB,55,Cranston,7.93262,0,7.93262,0,10/9/19 6:22,55, b1aaf220-ea7e-11e9-90c3-45c3f76c0e47
4,Agrodulce Carrots, 52/38689a90f99a11e98246012e5e367d18,10/28/19,67363,Menu Item,46000029497,Breakfast,Served,Start,7.46265,177,1.23,Lbs,HB,52,Hingham,6.23265,0,6.23265,0,10/28/19 11:47,52, 38689a90-f99a-11e9-8246-012e5e367d18
5,Agrodulce Carrots, 52/bb15de80e6c111e990c345c3f76c0e47,10/4/19,47548,Menu Item,46000029497,Breakfast,Served,Start,5.7320199999999994,179,0.99,Lbs,HB,52,Hingham,4.74202,0,4.74202,0,10/4/19 12:12,52, bb15de80-e6c1-11e9-90c3-45c3f76c0e47
6,Agrodulce Carrots, 52/e31a7b30fb5b11e990c345c3f76c0e47,10/30/19,68872,Menu Item,46000029497,Breakfast,Served,Start,6.64694,177,1.23,Lbs,HB,52,Hingham,5.41694,0,5.41694,0,10/30/19 17:26,52, e31a7b30-fb5b-11e9-90c3-45c3f76c0e47
7,Agrodulce Carrots, 53/9fe0d060e53c11e990c345c3f76c0e47,10/2/19,45055,Menu Item,46000029497,Breakfast,Served,Start,7.07684,173,1.54,Lbs,HB,53,Westford,5.53684,0,5.53684,0,10/2/19 13:46,53, 9fe0d060-e53c-11e9-90c3-45c3f76c0e47
8,American Chop Suey, 55/016133b0eecb11e98246012e5e367d18,10/14/19,57510,Menu Item,46000064578,Breakfast,Served,Start,7.804360000000001,198,1.9,Lbs,HB,55,Cranston,5.90436,0,5.90436,0,10/14/19 17:39,55, 016133b0-eecb-11e9-8246-012e5e367d18
9,American Chop Suey, 55/1b18c770ef7d11e990c345c3f76c0e47,10/14/19,58086,Menu Item,46000064578,Breakfast,Served,Start,5.84225,197,0.95,Lbs,HB,55,Cranston,4.89225,0,4.89225,0,10/15/19 14:54,55, 1b18c770-ef7d-11e9-90c3-45c3f76c0e47
