,itemName,imageKey,Date_Produced,Log_ID,Item_Type,PLU,Meal,Action_Taken,Action_Reason,Quantity,Pan_ID,Pan_Weight,Unit,Station,Location_ID,Location,Served,Saved,Sold,Shrink,logtime,locationId,imageId
8192,Steamed Broccoli, 51/4bd0e580f04211e98246012e5e367d18,2019-10-15,58639,Menu Item,46000064891,Breakfast,Served,Start,6.7241,107,1.94,Lbs,HB,51,Dedham,4.7841000000000005,0.0,4.7841000000000005,0.0,2019-10-16 14:25:37,51.0, 4bd0e580-f042-11e9-8246-012e5e367d18
8193,Steamed Broccoli, 51/4ea78640ec3e11e990c345c3f76c0e47,2019-10-11,54856,Menu Item,46000064891,Breakfast,Served,Start,7.40753,107,1.94,Lbs,HB,51,Dedham,5.46753,0.0,5.46753,0.0,2019-10-11 11:46:59,51.0, 4ea78640-ec3e-11e9-90c3-45c3f76c0e47
8194,Steamed Broccoli, 51/50a08dd0e92211e990c345c3f76c0e47,2019-10-06,51153,Menu Item,46000064891,Breakfast,Served,Start,7.51776,107,1.94,Lbs,HB,51,Dedham,5.57776,0.0,5.57776,0.0,2019-10-07 12:49:05,51.0, 50a08dd0-e922-11e9-90c3-45c3f76c0e47
8195,Steamed Broccoli, 51/5771d8e0f80311e98246012e5e367d18,2019-10-26,65967,Menu Item,46000064891,Breakfast,Served,Start,7.40753,107,1.94,Lbs,HB,51,Dedham,5.46753,0.0,5.46753,0.0,2019-10-26 11:15:01,51.0, 5771d8e0-f803-11e9-8246-012e5e367d18
8196,Steamed Broccoli, 51/57c55620e5e611e990c345c3f76c0e47,2019-10-02,46123,Menu Item,46000064891,Breakfast,Served,Start,6.7241,101,2.12,Lbs,HB,51,Dedham,4.6041,0.0,4.6041,0.0,2019-10-03 10:02:16,51.0, 57c55620-e5e6-11e9-90c3-45c3f76c0e47
8197,Steamed Broccoli, 51/5df3d5b0e88b11e98246012e5e367d18,2019-10-05,50236,Menu Item,46000064891,Breakfast,Served,Start,7.71618,107,1.94,Lbs,HB,51,Dedham,5.77618,0.0,5.77618,0.0,2019-10-06 18:48:18,51.0, 5df3d5b0-e88b-11e9-8246-012e5e367d18
8198,Steamed Broccoli, 51/5e879c10e46b11e990c345c3f76c0e47,2019-10-01,43739,Menu Item,46000064891,Breakfast,Served,Start,7.65004,107,1.94,Lbs,HB,51,Dedham,5.710039999999999,0.0,5.710039999999999,0.0,2019-10-01 12:49:25,51.0, 5e879c10-e46b-11e9-90c3-45c3f76c0e47
8199,Steamed Broccoli, 51/60759640f67b11e98246012e5e367d18,2019-10-23,64687,Menu Item,46000064891,Breakfast,Served,Start,6.59182,104,2.11,Lbs,HB,51,Dedham,4.481820000000001,0.0,4.481820000000001,0.0,2019-10-24 12:29:11,51.0, 60759640-f67b-11e9-8246-012e5e367d18
8200,Steamed Broccoli, 51/692ea2d0fb4511e98246012e5e367d18,2019-10-30,68797,Menu Item,46000064891,Breakfast,Served,Start,8.99486,107,1.94,Lbs,HB,51,Dedham,7.05486,0.0,7.05486,0.0,2019-10-30 14:45:40,51.0, 692ea2d0-fb45-11e9-8246-012e5e367d18
8201,Steamed Broccoli, 51/6c45f780f44b11e990c345c3f76c0e47,2019-10-20,62468,Menu Item,46000064891,Breakfast,Served,Start,6.1068,107,1.94,Lbs,HB,51,Dedham,4.1668,0.0,4.1668,0.0,2019-10-21 17:41:04,51.0, 6c45f780-f44b-11e9-90c3-45c3f76c0e47
