PLU,Item_Name,min
46000007289,"Chicken, Baked Texas BBQ ",2019-12-09
46000060493,Buttermilk Ranch Dressing,2019-12-09
46000020425,Roasted Butternut Squash,2019-12-08
46000030045,SWEET POTATO MAPLE MASHED HB,2019-12-08
46000030045,Maple Mashed Sweet Potatoes,2019-12-08
46000026169,Bombay Potatoes,2019-12-08
46000020861,MACARONI CHEESE MUSHROOM BUTTERNUT HB,2019-12-08
46000014656,Chicken Marsala,2019-12-08
46000022040,Swedish Meatballs,2019-12-08
46000022030,Vegetable Fried Rice,2019-12-07
46000029959,"Beef, Spicy Black Pepper Curry",2019-12-06
46000029308,"Pot Pie, Turkey Mushroom Bacon HB NA",2019-12-04
46000014732,Beef Stew,2019-12-04
48000037963,Pico de Gallo,2019-12-03
46000055786,Cilantro,2019-12-03
46000030017,CASSEROLE GREEN BEAN HB,2019-12-02
46000029304,"Meatballs, Beef Mushroom & Herb ",2019-12-02
46000020414,"Squash, Mashed Butternut ",2019-12-02
46000028877,"Broccoli Rabe, Roasted Garlic ",2019-12-02
09948248558,SOUP BISQUE LOBSTER BULK,2019-11-30
46000030044,STEW SPICY MUSHROOM ETOUFFEE HB,2019-11-30
46000055858,Iceberg Lettuce - Shredded,2019-11-30
46000018400,Tortellini & Sopressata,2019-11-29
46000030014,Black Eyed Pea Fritters,2019-11-29
46000060957,TOFU YELLOW CURRY HB,2019-11-28
48000008634,TERIYAKI CHICKEN THIGHS,2019-11-27
46000055772,CARROTS SHREDDED CV SB,2019-11-27
46000028910,"Greens, Apple Cider PGI HB CE",2019-11-27
46000013174,TURKEY BREAST HB,2019-11-26
46000020868,MACARONI CHEESE PEPPADEW GOAT CHEESE HB,2019-11-25
46000060958,Thai Fried Rice,2019-11-25
46000064570,Carrot Ginger Pollock,2019-11-25
46000056666,BEEF BARBACOA JALAPENO HB,2019-11-24
46000059884,PORK CARNITAS OSI HB,2019-11-24
46000018070,Cow Bell Hell Smoked Beef Tips,2019-11-24
46000030656,SOUP PUMPKIN CURRY HB,2019-11-24
46000020414,"Squash, Mashed Butternut",2019-11-23
46000022021,GRAVY TURKEY CV HB,2019-11-23
46000057670,SOUP BUTTERNUT SQUASH HB,2019-11-23
46000030595,SOUP CREAM OF MUSHROOM HB,2019-11-23
46000060492,Bleu Cheese Dressing,2019-11-22
26490600000,SANDWICH BREAKFAST HAM EGG CHEESE HB,2019-11-21
46000024976,"Chicken, Mushroom Herb",2019-11-21
