Location,Pan_Name,Frequency
Cranston,2 inch 1/3 pan,212
Cranston,2 inch full hotel pan,434
Cranston,2 inch half hotel pan,1816
Cranston,4 inch 1/3 pan,146
Cranston,4 inch full hotel pan,192
Cranston,4 inch half hotel pan,588
Cranston,6 inch 1/3 pan,65
Cranston,6 inch full hotel pan,238
Cranston,Half Lug WITH Lid,32
Cranston,Half Lug WITHOUT Lid,215
Cranston,Lug WITH Lid,22
Cranston,Lug WITHOUT Lid,63
Cranston,SB 2 inch Salad Bar 1/4 Pan,128
Cranston,SB 2 inch Salad bar Shotgun,564
Cranston,SB 4 inch Salad Bar 1/4 Pan,640
Cranston,SB 4 inch Salad bar Shotgun,788
Cranston,SB FULL Salad Bar Pan,100
Cranston,Soup Bain Marie,59
Dedham,Deep Lugg No Lid,689
Dedham,Half Hotel Pan Deep,1643
Dedham,Half Hotel Pan shallow,934
Dedham,Half Salad Bar Pan  Shallow,33
Dedham,Half Salad Bar Pan Deep,68
Dedham,Hotel Pan Deep,351
Dedham,Hotel Pan Shallow,614
Dedham,Salad Bar Deep Pan,197
Dedham,Salad Bar Shallow Pan,175
Dedham,Shallow Lugg No Lid,505
Dedham,Sheet Tray,12
Dedham,Soup Bowl,596
Hingham,Deep 1/4 Pan,94
Hingham,Generic Deep 1/2 Pan,866
Hingham,Generic Shallow 1/2 Pan,572
Hingham,Generic Shallow Full Pan,422
Hingham,LG Lug,157
Hingham,LG Lug with Lid,82
Hingham,LG Soup Well,399
Hingham,"SB-Long 1/2 Pan, Deep",174
Hingham,"SB-Long 1/2 Pan, Shallow",337
Hingham,SM Lug,345
Hingham,SM Lug with Lid,483
Hingham,SM Soup Well,27
Hingham,Shallow 1/4 Pan,300
Hingham,Sheet Pan,8
Hingham,Vollrath Deep 1/2 Pan,162
Hingham,Vollrath Deep Full Pan,35
Hingham,Vollrath Shallow 1/2 Pan,319
Hingham,Vollrath Shallow Full Pan,288
West hartford,Deep Lugg No Lid,74
West hartford,Full Hotel Pan Deep,61
West hartford,Full Hotel Pan Shallow,916
West hartford,Half Hotel Pan Deep,518
West hartford,Half Hotel Pan shallow,563
West hartford,Shallow Lugg No Lid,69
West hartford,Sheet Tray,26
West hartford,Skinny Deep Pan,523
West hartford,Skinny Half Deep Pan,93
West hartford,Skinny Half Shallow Pan,258
West hartford,Skinny Shallow Pan,1050
West hartford,Soup Bowl,484
Westford,Hot Bar Full Pan,564
Westford,Hot Bar Half Pan,4480
Westford,Salad Bar Full Pan,1518
Westford,Salad Bar Half Pan,1213
