0,1,2
<reportlab.platypus.flowables.Image object at 0x120f2fc50>,Berry Power Salad,2.66
<reportlab.platypus.flowables.Image object at 0x120db56d0>,Corned Beef Hash,2.82
<reportlab.platypus.flowables.Image object at 0x120b4ef10>,Egg White & Spinach Scramble,3.46
<reportlab.platypus.flowables.Image object at 0x120dc1510>,Ham & Cheese Omelet,4.37
<reportlab.platypus.flowables.Image object at 0x101992a50>,Buttered Cabbage,1.23
<reportlab.platypus.flowables.Image object at 0x120e55ed0>,Steamed Broccoli,6.28
<reportlab.platypus.flowables.Image object at 0x120dba990>,Smoked Boneless Chicken Thighs,1.21
<reportlab.platypus.flowables.Image object at 0x1213cc350>,"Macaroni & Cheese, Buffalo Bleu",1.93
<reportlab.platypus.flowables.Image object at 0x1213ccb10>,Sauteed Kale w/ Mushrooms,4.91
<reportlab.platypus.flowables.Image object at 0x120a82c50>,Macaroni & Cheese,6.37
<reportlab.platypus.flowables.Image object at 0x1213cce90>,"Chicken, Spicy Kerala Pepper",3.26
<reportlab.platypus.flowables.Image object at 0x1213cca10>,Chicken Cacciatore,3.86
<reportlab.platypus.flowables.Image object at 0x1213cc1d0>,Olive Tomato Parsley Pollock,1.23
<reportlab.platypus.flowables.Image object at 0x1213ccfd0>,Chicken Tenders,6.82
<reportlab.platypus.flowables.Image object at 0x1213cc9d0>,Beef Chili,6.35
<reportlab.platypus.flowables.Image object at 0x1213d7310>,Lentil Dal & Spinach Soup,-0.31
<reportlab.platypus.flowables.Image object at 0x1213d7250>,"Chicken, Mangalore Ghee",9.63
<reportlab.platypus.flowables.Image object at 0x1213d72d0>,Maria's Beef Meatballs,2.18
<reportlab.platypus.flowables.Image object at 0x1213d7210>,Collard Greens w/ Garlic,1.49
<reportlab.platypus.flowables.Image object at 0x1213d70d0>,Lemon Rice,1.58
<reportlab.platypus.flowables.Image object at 0x1213d7750>,Beef Cavatappi Chop Suey,0.84
<reportlab.platypus.flowables.Image object at 0x1213d7950>,Sublime Swine Smoked Pulled Pork,0.53
<reportlab.platypus.flowables.Image object at 0x1213d79d0>,Turmeric Kale Rice,5.47
<reportlab.platypus.flowables.Image object at 0x1213d7a50>,Mashed Potatoes,0.44
<reportlab.platypus.flowables.Image object at 0x1213d7ad0>,Cajun Wedged Sweet Potatoes,-0.00
<reportlab.platypus.flowables.Image object at 0x1213d7b50>,"Vegetable Korma, Hyderabadi Cashew",1.67
<reportlab.platypus.flowables.Image object at 0x1213d7bd0>,Lemon Garlic Broccolini,1.17
<reportlab.platypus.flowables.Image object at 0x1213d7c50>,Greek Salad,7.26
<reportlab.platypus.flowables.Image object at 0x1213d7cd0>,Mesclun Goat Cheese Salad,2.63
<reportlab.platypus.flowables.Image object at 0x1213d7d50>,Mexican Caesar Salad,5.67
<reportlab.platypus.flowables.Image object at 0x1213d7dd0>,Caesar Salad,4.28
<reportlab.platypus.flowables.Image object at 0x1213d7e50>,Mom's Chicken Soup,12.78
<reportlab.platypus.flowables.Image object at 0x1213d7ed0>,Nana's Chicken Noodle Soup,5.67
<reportlab.platypus.flowables.Image object at 0x1213d7f50>,New England Clam Chowder,1.71
<reportlab.platypus.flowables.Image object at 0x1213d7fd0>,Double Cheddar Broccoli Soup,0.87
<reportlab.platypus.flowables.Image object at 0x1213d7410>,Tomato Parmesean Soup,5.06
<reportlab.platypus.flowables.Image object at 0x1213d7e10>,Blackened Potatoes,4.76
<reportlab.platypus.flowables.Image object at 0x1213d7690>,"Meatloaf, BBQ Beef",1.43
<reportlab.platypus.flowables.Image object at 0x1213d74d0>,Garlic Parm & Pepper Potatoes,3.99
<reportlab.platypus.flowables.Image object at 0x1213d7e90>,Curried Cauliflower,0.97
<reportlab.platypus.flowables.Image object at 0x1213d75d0>,Roasted Eggplant,3.97
<reportlab.platypus.flowables.Image object at 0x1213d7510>,"Sweet Potato, Mangalore Ghee with Spinach",6.81
<reportlab.platypus.flowables.Image object at 0x1213d7390>,Buffalo Wings,6.27
<reportlab.platypus.flowables.Image object at 0x1213d7450>,Honey Jalapeno Wings,6.66
<reportlab.platypus.flowables.Image object at 0x1213d78d0>,Teriyaki Wings,8.94
