,Frequency,Location,PLU,ItemName,Most_Recent_LoggedDate
0,434,Dedham,46000007582,Chicken Tenders,2019-12-15
1,345,Dedham,46000060414,Macaroni & Cheese,2019-12-15
2,308,Dedham,46000064443,Mom's Chicken Soup,2019-12-15
3,283,Dedham,46000057474,Mashed Potatoes,2019-12-15
4,257,Dedham,46000064891,Steamed Broccoli,2019-12-15
5,238,Dedham,46000025411,Beef Cavatappi Chop Suey,2019-12-15
6,229,Dedham,46000016511,Nana's Chicken Noodle Soup,2019-12-15
7,227,Dedham,46000018075,Sublime Swine Smoked Pulled Pork ,2019-12-15
8,192,Dedham,46000063709,Buffalo Wings,2019-12-15
9,179,Dedham,46000016509,New England Clam Chowder,2019-12-15
10,175,Dedham,46000020405,Sauteed Kale w/ Mushrooms ,2019-12-12
11,172,Dedham,46000018499,Lentil Dal & Spinach Soup,2019-12-15
12,170,Dedham,46000028962,Maria's Beef Meatballs ,2019-12-15
13,170,Dedham,46000008373,Teriyaki Wings,2019-12-15
14,169,Dedham,46000010510,Collard Greens w/ Garlic ,2019-12-15
15,164,Dedham,26747000000,Cajun Wedged Sweet Potatoes ,2019-12-12
16,159,Dedham,46000019137,Lemon Garlic Broccolini,2019-12-15
17,128,Dedham,46000063712,Bangkok Wings,2019-12-15
18,123,Dedham,46000057669,Buttered Cabbage,2019-12-15
19,122,Dedham,46000003990,"Macaroni & Cheese, Buffalo Bleu",2019-12-08
20,122,Dedham,46000026168,Turmeric Kale Rice,2019-12-15
21,120,Dedham,46000005678,Chicken Cacciatore ,2019-11-19
22,118,Dedham,46000059700,Ham & Cheese Omelet,2019-12-15
23,116,Dedham,46000008060,"Meatloaf, BBQ Beef",2019-12-05
24,114,Dedham,46000029960,"Chicken, Mangalore Ghee ",2019-12-15
25,113,Dedham,46000007290,Curried Cauliflower,2019-12-15
26,112,Dedham,46000029962,"Chicken, Spicy Kerala Pepper",2019-12-15
27,108,Dedham,46000059993,Roasted Eggplant,2019-12-13
28,107,Dedham,46000018077,Garlic Parm & Pepper Potatoes,2019-12-15
29,96,Dedham,46000059699,Egg White & Spinach Scramble,2019-12-15
30,95,Dedham,46000064940,Scrambled Eggs,2019-12-14
31,94,Dedham,46000064890,Green Beans with Roasted Garlic ,2019-12-15
32,89,Dedham,46000058382,Breakfast Potatoes,2019-12-14
33,89,Dedham,46000018074,Smoked Boneless Chicken Thighs,2019-10-23
34,86,Dedham,46000018498,Double Cheddar Broccoli Soup,2019-12-15
35,84,Dedham,46000029958,"Sweet Potato, Mangalore Ghee with Spinach ",2019-12-15
36,83,Dedham,46000020411,Chili Garlic Cauliflower,2019-12-15
37,83,Dedham,46000065097,Sausage Patties ,2019-12-12
38,83,Dedham,46000016512,Tomato Parmesean Soup,2019-12-15
39,82,Dedham,46000063819,Blueberry Lemon Pancakes,2019-12-15
40,79,Dedham,46000004910,Beef Chili,2019-12-14
41,78,Dedham,46000008996,Tofu Breakfast Scramble,2019-12-12
42,77,Dedham,46000060011,Bacon ,2019-12-12
43,75,Dedham,46000065008,Turkey Bacon ,2019-12-12
44,73,Dedham,46000001661,Plantains,2019-12-11
45,71,Dedham,46000029957,"Vegetable Korma, Hyderabadi Cashew",2019-11-18
46,67,Dedham,46000059701,Olive Tomato Parsley Pollock,2019-10-21
47,66,Dedham,46000064784,Roasted Sweet Potatoes,2019-12-15
48,65,Dedham,46000057444,Lemon Rice,2019-12-05
49,56,Dedham,46000018076,Blackened Potatoes,2019-12-10
50,49,Dedham,46000004909,Turkey Chili,2019-11-19
51,43,Dedham,46000055768,Cantalope,2019-11-29
52,43,Dedham,46000055863,Romaine Lettuce,2019-11-23
53,41,Dedham,46000055836,Honeydew Melon,2019-12-08
54,39,Dedham,46000055938,Strawberries,2019-12-08
55,37,Dedham,46000055744,Blackberries,2019-12-15
56,37,Dedham,46000027163,Potato & Scallion Salad ,2019-12-08
57,37,Dedham,46000013170,Seasonal Citrus ,2019-11-19
58,35,Dedham,46000055923,Baby Spinach,2019-12-04
59,35,Dedham,27661300000,Bistro Pasta Salad ,2019-11-15
60,34,Dedham,46000055747,Blueberries,2019-11-03
61,34,Dedham,46000024077,Chinese Black Pepper Green Beans ,2019-12-04
62,34,Dedham,46000055892,Peas,2019-12-02
63,32,Dedham,46000024075,Fennel Pistachio Lemon Vin Salad,2019-11-01
64,32,Dedham,26120900000,Garlic Parmesan Pasta,2019-11-01
65,32,Dedham,46000063050,Spring Mix,2019-11-03
66,31,Dedham,46000055793,Corn ,2019-11-03
67,31,Dedham,46000064399,Greek Salad,2019-11-21
68,31,Dedham,46000055834,Hearts of Palm,2019-12-12
69,31,Dedham,46000055827,Red Grapes ,2019-11-25
70,30,Dedham,46000064783,Grilled Tofu,2019-12-02
71,30,Dedham,27661900000,Roman Cappellini Pasta Salad ,2019-11-03
72,30,Dedham,46000018400,Tortellini & Sopressata ,2019-11-01
73,29,Dedham,46000064603,Golden Sesame Tofu ,2019-11-03
74,29,Dedham,28452000000,Grilled Chicken,2019-11-10
75,29,Dedham,46000007609,Kale & Brussel Sprout Salad,2019-11-01
76,29,Dedham,46000024076,Lemon Artichoke Slaw,2019-10-31
77,29,Dedham,46000024081,Mexican Caesar Salad,2019-11-03
78,28,Dedham,27994400000,Beets w/ Sherry Vinaigrette,2019-11-01
79,28,Dedham,46000064401,Caesar Salad,2019-11-03
80,27,Dedham,46000006607,Black Beans,2019-11-29
81,27,Dedham,46000055848,Kidney Beans,2019-11-29
82,27,Dedham,46000064022,Mesclun Goat Cheese Salad,2019-11-03
83,26,Dedham,46000055823,Gigande,2019-11-03
84,25,Dedham,46000055943,Grape Tomatoes ,2019-11-03
85,25,Dedham,46000055842,Kale,2019-11-03
86,25,Dedham,46000056506,Roasted Garlic ,2019-11-25
87,23,Dedham,46000055714,Arugula,2019-11-03
88,23,Dedham,46000005582,Carrot Ginger Coconut Soup,2019-11-25
89,23,Dedham,46000064881,Challah French Toast,2019-12-14
90,23,Dedham,46000024079,Chickpea Asparagus Radicchio ,2019-10-22
91,23,Dedham,46000055807,Edamame,2019-10-30
92,23,Dedham,46000055832,Hard Boiled Eggs ,2019-10-31
93,23,Dedham,46000024575,Marinated Feta,2019-10-31
94,22,Dedham,46000027069,Champagne Dijon Potato Salad,2019-10-24
95,22,Dedham,46000025181,Chophouse Steak Salad ,2019-11-26
96,22,Dedham,46000058735,Dolmas,2019-12-15
97,22,Dedham,46000022419,Kale White Bean Salad ,2019-10-24
98,22,Dedham,46000055736,Mixed Peppers,2019-11-03
99,22,Dedham,46000055903,Pineapple,2019-11-03
100,22,Dedham,27848700000,Spinach Feta Orzo Salad,2019-11-01
101,21,Dedham,46000060270,BBQ Wings,2019-11-26
102,21,Dedham,46000063817,Corned Beef Hash,2019-12-15
103,21,Dedham,46000007477,Summer Squash ,2019-10-28
104,20,Dedham,46000003326,Cook Falafel,2019-12-10
105,20,Dedham,46000055820,Garbanzo Beans,2019-10-29
106,19,Dedham,46000018079,Honey Jalapeno Wings,2019-11-03
107,19,Dedham,46000060285,Sweet Potato & Vidalia Onion,2019-10-16
108,17,Dedham,46000059426,Snap Peas,2019-11-03
109,17,Dedham,46000007476,Zucchini ,2019-12-08
110,16,Dedham,46000059365,Citrus Marinated Olives,2019-10-30
111,15,Dedham,46000055812,Farro,2019-10-18
112,15,Dedham,46000055729,Golden Beets,2019-11-29
113,15,Dedham,46000004373,Mushroom & Barley Soup,2019-10-22
114,15,Dedham,46000003438,Sweet & Spicy Kale Pad Thai,2019-11-15
115,15,Dedham,46000013789,Vegan Split Pea Soup,2019-10-13
116,13,Dedham,46000055911,Red Quinoa,2019-10-14
117,13,Dedham,46000020425,Roasted Butternut Squash,2019-12-15
118,13,Dedham,46000059425,Roasted Red Peppers,2019-10-14
119,12,Dedham,46000010550,Roasted Mushrooms ,2019-10-14
120,11,Dedham,46000018433,Berry Power Salad,2019-10-13
121,10,Dedham,46000024072,Mediterranean Salmon Salad ,2019-10-31
122,10,Dedham,46000022040,Swedish Meatballs,2019-12-15
123,7,Dedham,46000027159,Chicken & Scallion Salad,2019-11-21
124,7,Dedham,46000015079,Chicken Pasta Caesar Salad,2019-10-05
125,7,Dedham,46000030045,Maple Mashed Sweet Potatoes,2019-12-15
126,7,Dedham,46000021385,Mashed Avocado,2019-12-14
127,6,Dedham,46000059671,Hummus,2019-10-13
128,5,Dedham,46000011745,"Cauliflower, Curry Roasted with Peas ",2019-11-14
129,4,Dedham,46000029959,"Beef, Spicy Black Pepper Curry ",2019-12-08
130,4,Dedham,46000026169,Bombay Potatoes,2019-12-12
131,4,Dedham,46000025643,Broccoli Cheddar Quiche,2019-11-30
132,4,Dedham,46000014656,Chicken Marsala,2019-12-12
133,3,Dedham,46000029961,"Chicken Korma, Hyderabadi Cashew ",2019-10-10
134,3,Dedham,46000057439,Chicken Tikka Masala,2019-12-08
135,3,Dedham,46000028996,Paleo Roasted Squash Zucchini,2019-12-14
136,3,Dedham,46000025644,Quiche Lorraine,2019-11-23
137,2,Dedham,46000028877,"Broccoli Rabe, Roasted Garlic ",2019-12-12
138,2,Dedham,46000024976,"Chicken, Mushroom Herb",2019-12-05
139,2,Dedham,46000022022,Creamed Spinach & Kale Kettle ,2019-10-19
140,2,Dedham,46000028995,Paleo Roasted Butternut Squash,2019-12-04
141,2,Dedham,46000010140,"Potatoes, Patate Al Forne",2019-10-17
142,2,Dedham,46000020414,"Squash, Mashed Butternut ",2019-12-05
143,1,Dedham,46000029060,"Cauliflower, Sicilian ",2019-10-24
144,1,Dedham,46000007289,"Chicken, Baked Texas BBQ ",2019-12-09
145,1,Dedham,46000064572,Lemon Parsley Pollock ,2019-12-11
146,1,Dedham,46000029304,"Meatballs, Beef Mushroom & Herb ",2019-12-02
